(matchnum, 1), (teamnum, 3615), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 2), (teamnum, 751), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 8), (defensiverating, 2), (offensiverating, 1), (range, 1), (robottype, 4), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 3), (teamnum, 692), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 32), (manueverrating, 8), (defensiverating, 2), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 4), (teamnum, 3970), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 16), (manueverrating, 16), (defensiverating, 32), (offensiverating, 2), (range, 2), (robottype, 4), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 5), (teamnum, 3250), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 3), (driverrating, 64), (manueverrating, 64), (defensiverating, 4), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 6), (teamnum, 3045), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 7), (teamnum, 2073), (autodisabled, 0), (kinect, 0), (autoscorebot, 1), (autoscoremid, 1), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 64), (manueverrating, 16), (defensiverating, 8), (offensiverating, 64), (range, 4), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 8), (teamnum, 295), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 4), (driverrating, 64), (manueverrating, 16), (defensiverating, 1), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 9), (teamnum, 3256), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 0), (driverrating, 16), (manueverrating, 4), (defensiverating, 1), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 10), (teamnum, 751), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 2), (manueverrating, 4), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 4), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 11), (teamnum, 2551), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 12), (teamnum, 1388), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 16), (manueverrating, 2), (defensiverating, 1), (offensiverating, 2), (range, 3), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 13), (teamnum, 581), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 4), (manueverrating, 4), (defensiverating, 2), (offensiverating, 4), (range, 1), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
