1, 649, 2141, 1351, 8, 1280, 100
2, 2159, 2035, 114, 841, 692, 3013
3, 2144, 668, 766, 852, 2643, 840
4, 2367, 3045, 1967, 3022, 846, 670
5, 1120, 604, 2813, 1516, 2628, 1458
6, 581, 987, 1641, 1700, 115, 192
7, 971, 2135, 254, 256, 1834, 2489
8, 359, 253, 2473, 1868, 675, 604
9, 2035, 1641, 3045, 1516, 766, 2141
10, 2813, 2643, 971, 581, 1967, 649
11, 846, 100, 253, 2135, 1458, 1834
12, 114, 2144, 8, 2367, 192, 254
13, 2473, 668, 3013, 1120, 3022, 987
14, 359, 670, 1868, 841, 1280, 1700
15, 692, 2159, 852, 1351, 675, 256
16, 115, 2489, 1458, 840, 2628, 8
17, 766, 1868, 841, 649, 987, 846
18, 852, 1280, 256, 2367, 114, 253
19, 1516, 2159, 115, 1834, 971, 2473
20, 2135, 604, 3013, 1700, 254, 3045
21, 670, 581, 2643, 1120, 675, 2141
22, 3022, 100, 359, 2144, 2628, 692
23, 2035, 668, 1351, 1641, 2489, 1967
24, 840, 192, 1280, 2813, 3045, 2473
25, 2643, 649, 1516, 253, 2159, 1700
26, 2628, 1351, 1641, 114, 670, 971
27, 581, 1458, 668, 256, 3013, 2144
28, 692, 987, 675, 846, 2813, 1834
29, 766, 2489, 192, 604, 841, 100
30, 2141, 1967, 852, 1868, 115, 254
31, 840, 2135, 1120, 359, 2367, 2035
32, 8, 604, 253, 3022, 1641, 668
33, 2489, 2628, 649, 2473, 581, 852
34, 1458, 692, 1280, 254, 1967, 766
35, 2813, 1351, 2144, 1834, 3045, 841
36, 840, 2367, 675, 1868, 100, 3013
37, 987, 114, 2135, 2141, 2159, 670
38, 256, 3022, 1516, 359, 2643, 115
39, 846, 1700, 8, 1120, 971, 2035
40, 192, 3013, 2813, 2135, 1351, 253
41, 2367, 1641, 841, 2473, 2643, 692
42, 254, 256, 670, 1516, 100, 840
43, 1834, 2628, 675, 2141, 1700, 668
44, 971, 359, 8, 766, 987, 3045
45, 3022, 1458, 192, 649, 852, 2035
46, 1280, 114, 846, 581, 115, 604
47, 1967, 1868, 1120, 2144, 2489, 2159
48, 3013, 1834, 2643, 670, 8, 192
49, 841, 3022, 2141, 971, 840, 1458
50, 604, 987, 2473, 2035, 1967, 256
51, 100, 3045, 692, 253, 1120, 115
52, 581, 359, 1516, 1351, 2367, 852
53, 2144, 1641, 675, 649, 2135, 1280
54, 2628, 668, 254, 846, 2159, 766
55, 2489, 1700, 1868, 114, 2813, 3022
56, 115, 2035, 670, 253, 649, 2144
57, 841, 1516, 1967, 2135, 675, 8
58, 254, 2159, 100, 2813, 359, 1641
59, 192, 581, 971, 1868, 668, 692
60, 2473, 1700, 2367, 766, 1458, 1351
61, 3045, 2628, 1280, 2643, 2489, 987
62, 852, 846, 604, 3013, 840, 2141
63, 1120, 1834, 766, 114, 256, 649
